overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),release_clause_euro,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes
63,68,475000.0,1000.0,1,3,2,629000.0,60,52,54,63,46,56,65,62,63,59,68,69,65,60,42,60,63,77,67,58,62,63,64,64,48,54,54,56,56,15,14,8,12,14
63,64,350000.0,2000.0,1,2,2,481000.0,48,28,64,67,43,38,36,30,62,41,57,65,41,61,47,49,70,60,75,41,62,55,40,42,36,52,61,61,60,11,15,7,6,12
63,67,400000.0,1000.0,1,3,2,630000.0,52,26,64,63,29,54,29,38,37,58,72,73,64,59,71,68,75,67,64,41,67,58,38,30,54,55,55,64,62,14,13,13,13,11
63,79,750000.0,1000.0,1,3,3,1600000.0,49,41,42,66,46,68,63,58,66,68,75,74,75,54,80,50,62,65,48,39,58,60,58,60,48,65,61,58,56,9,15,13,8,12
63,65,375000.0,2000.0,1,3,2,534000.0,28,18,64,54,29,63,28,38,56,68,65,64,60,63,70,33,79,66,72,20,66,63,25,32,40,59,43,66,63,9,14,11,13,14
63,63,280000.0,3000.0,1,4,2,406000.0,66,55,55,62,47,62,61,58,60,59,65,68,74,56,71,52,77,76,56,46,43,58,63,63,55,47,60,61,63,10,13,8,10,16
63,69,375000.0,3000.0,1,2,1,713000.0,11,5,14,28,9,7,10,11,21,11,24,15,65,61,31,20,73,27,62,8,24,13,4,23,16,43,20,11,12,63,62,65,60,63
63,64,450000.0,2000.0,1,3,3,821000.0,53,51,32,58,45,66,53,36,52,62,82,80,80,53,84,49,53,63,56,47,36,22,59,59,50,52,37,21,25,15,13,15,12,6
63,64,325000.0,1000.0,1,3,2,496000.0,20,22,62,39,28,25,25,21,26,34,68,67,63,64,63,57,75,58,74,23,64,62,18,43,31,68,67,62,56,15,16,11,16,11
63,63,300000.0,3000.0,1,2,2,435000.0,58,36,55,57,37,54,57,31,51,58,69,71,64,58,70,39,81,71,64,46,54,64,54,42,31,60,62,61,63,8,12,10,14,6
63,63,120000.0,1000.0,1,4,2,150000.0,71,55,58,67,55,61,71,72,64,67,60,55,57,64,70,68,60,48,63,57,44,28,67,66,54,66,34,34,22,13,6,6,11,14
63,64,325000.0,1000.0,1,4,2,496000.0,38,17,60,56,23,33,27,22,55,41,55,52,45,55,45,33,51,64,79,16,59,60,29,31,31,55,66,66,64,10,6,11,11,9
63,63,400000.0,4000.0,1,3,3,760000.0,62,60,45,43,58,73,56,55,45,63,59,65,58,73,55,67,55,66,67,51,22,24,68,72,71,65,19,21,24,13,10,7,13,8
63,71,475000.0,2000.0,1,2,2,926000.0,24,19,59,44,26,31,24,29,37,52,68,69,58,50,64,39,82,67,74,23,46,54,30,28,31,44,65,70,66,11,10,15,11,16
63,73,525000.0,3000.0,1,3,3,1200000.0,66,46,48,63,46,64,60,39,60,66,69,68,70,58,78,52,61,64,54,51,59,61,52,49,38,58,62,62,59,14,14,14,10,8
63,70,525000.0,2000.0,1,3,3,998000.0,52,62,65,63,50,67,54,58,59,66,71,69,75,49,77,65,61,55,50,60,32,33,61,57,60,58,58,35,33,6,8,14,12,12
63,75,650000.0,1000.0,1,3,3,1200000.0,48,56,48,70,48,64,51,49,64,66,69,65,66,59,69,57,54,65,64,41,49,49,55,65,54,58,52,54,53,13,13,10,12,9
63,74,650000.0,2000.0,1,2,3,1300000.0,47,63,55,64,54,65,36,32,59,67,79,83,73,45,71,66,63,64,64,50,55,16,60,68,49,67,29,12,16,8,13,8,6,14
63,70,450000.0,3000.0,1,3,2,1100000.0,33,22,59,51,31,28,45,35,50,51,61,71,55,57,54,66,78,58,75,24,72,56,30,43,45,56,60,64,60,9,10,9,7,11
63,63,290000.0,2000.0,1,3,2,377000.0,60,21,58,54,25,62,34,30,46,60,76,73,69,65,72,32,63,55,61,25,59,62,67,58,40,50,59,61,67,6,15,12,11,12
63,63,375000.0,2000.0,1,4,4,544000.0,52,57,35,64,50,68,57,60,62,67,83,78,91,53,85,59,82,74,41,45,48,23,45,46,44,53,31,28,27,9,11,12,11,10
63,63,150000.0,1000.0,1,3,2,188000.0,52,46,58,61,34,49,40,44,62,58,43,46,63,57,60,64,74,80,78,66,75,58,50,63,48,61,60,60,54,16,7,14,7,6
63,71,550000.0,3000.0,1,3,2,935000.0,56,59,43,63,55,62,52,46,62,67,71,69,72,55,66,66,61,64,57,47,41,62,55,57,66,53,63,58,57,14,12,9,12,10
63,72,500000.0,1000.0,1,3,2,875000.0,28,24,59,54,32,38,34,31,38,51,59,63,40,56,59,44,63,64,71,27,70,63,25,27,50,48,62,63,62,5,8,9,11,6
63,73,450000.0,4000.0,1,3,1,945000.0,12,17,18,29,17,15,14,14,27,23,49,53,34,55,48,19,59,36,80,17,23,22,20,14,23,48,14,13,21,67,57,56,57,70
63,63,300000.0,1000.0,1,3,2,435000.0,52,29,67,63,26,40,40,23,48,59,51,59,56,64,39,59,36,58,86,28,71,61,39,43,36,65,66,66,62,6,7,9,15,14
63,63,120000.0,2000.0,1,3,3,210000.0,62,61,56,60,55,62,57,54,58,60,84,83,66,57,65,63,61,75,64,55,59,36,61,58,59,58,28,31,29,7,13,10,15,11
63,79,725000.0,1000.0,1,2,2,1600000.0,33,25,65,54,29,37,30,28,38,46,64,69,66,50,62,50,69,55,71,23,70,57,29,32,42,44,61,65,60,15,15,6,8,6
63,71,400000.0,1000.0,1,2,1,660000.0,13,8,12,24,8,12,10,10,20,13,16,27,25,49,27,18,38,20,66,8,26,9,7,41,11,35,11,13,10,63,66,54,62,67
63,71,450000.0,2000.0,1,2,2,878000.0,63,31,40,61,37,59,62,50,59,64,73,67,76,54,69,35,57,71,61,33,73,58,43,62,34,65,63,62,60,8,7,7,8,7
63,67,500000.0,2000.0,1,3,2,913000.0,32,62,60,54,60,60,36,58,48,63,69,69,75,56,66,60,74,65,74,55,34,21,64,45,58,57,28,16,21,13,6,14,15,7
63,63,300000.0,2000.0,1,3,2,525000.0,59,36,66,60,15,61,43,27,49,60,71,66,70,58,48,34,69,78,72,28,58,55,62,46,34,43,56,62,59,7,16,8,14,16
63,77,800000.0,1000.0,1,4,2,1600000.0,59,58,37,71,49,62,57,71,62,62,60,71,71,44,71,57,44,67,36,59,37,29,61,61,57,66,32,42,39,9,7,9,13,10
63,68,400000.0,1000.0,1,3,2,730000.0,63,42,41,62,50,65,51,48,55,60,77,74,74,55,71,48,55,68,41,52,48,57,42,55,51,52,51,60,67,6,8,10,6,9
63,74,625000.0,2000.0,1,3,3,906000.0,59,55,45,57,58,66,68,65,51,59,74,79,80,56,69,59,69,68,49,66,40,35,62,57,45,59,37,41,40,15,12,13,11,5
63,71,475000.0,1000.0,1,4,2,784000.0,61,37,49,58,37,53,45,42,45,57,78,83,68,61,71,46,67,78,74,35,68,52,49,41,42,59,64,63,62,12,12,13,11,14
63,66,475000.0,3000.0,1,3,2,867000.0,35,57,60,53,55,59,45,31,43,63,78,80,70,55,64,65,67,71,77,59,57,18,64,45,62,53,22,21,20,12,12,11,10,9
63,76,575000.0,1000.0,1,3,2,1300000.0,64,32,54,64,41,59,44,39,56,62,74,69,63,57,70,63,64,62,66,41,58,58,52,48,49,49,60,64,57,11,8,13,10,11
63,80,775000.0,1000.0,1,3,2,1900000.0,50,47,59,67,36,62,52,39,61,64,66,67,56,64,79,55,61,69,55,54,70,63,57,59,47,58,64,64,62,8,9,8,14,6
63,76,625000.0,7000.0,1,3,2,1500000.0,38,23,61,56,39,54,37,41,54,57,70,71,57,51,54,48,71,59,70,36,51,61,33,31,47,44,60,66,65,12,10,11,11,12
63,63,290000.0,4000.0,1,4,2,624000.0,58,27,45,55,25,64,42,35,61,57,81,80,83,63,78,55,65,68,43,44,49,60,54,38,34,52,60,62,61,16,7,7,11,12
63,67,350000.0,1000.0,1,3,1,639000.0,16,16,14,24,16,13,21,14,23,19,40,42,34,62,48,23,54,27,67,15,17,21,17,25,28,38,16,16,12,61,61,60,62,63
63,64,290000.0,2000.0,1,3,1,384000.0,10,14,9,22,14,11,11,13,33,18,44,31,32,54,54,19,54,32,67,15,43,22,13,60,17,62,16,15,9,61,61,66,65,64
63,77,775000.0,1000.0,1,3,3,1700000.0,45,40,65,68,38,64,54,62,65,64,57,66,60,62,70,75,72,69,76,70,63,60,39,58,42,66,57,66,63,13,13,13,14,12
63,75,650000.0,1000.0,1,3,2,1100000.0,41,60,64,55,50,54,34,41,38,59,69,71,64,59,60,63,70,47,79,58,63,24,62,50,64,52,15,11,14,15,12,9,5,15
63,64,290000.0,1000.0,1,2,1,413000.0,15,16,17,21,12,13,20,18,19,24,47,42,51,51,59,22,50,33,63,12,17,25,17,48,23,54,14,13,19,64,61,60,62,65
63,63,290000.0,1000.0,1,4,2,450000.0,55,31,58,55,29,56,44,33,47,55,71,72,62,64,61,43,74,71,76,32,70,62,33,51,37,60,68,60,59,13,8,6,16,8
63,64,350000.0,3000.0,1,3,2,534000.0,57,27,56,49,27,63,31,29,37,54,75,74,54,56,53,22,57,74,74,27,64,64,48,40,38,66,58,65,63,14,13,8,9,12
63,75,625000.0,1000.0,1,4,3,906000.0,51,65,54,61,50,65,62,34,37,65,77,83,73,57,73,60,55,60,53,51,33,13,63,56,58,60,26,11,11,6,7,13,8,13
63,64,350000.0,4000.0,1,3,2,604000.0,58,36,56,63,31,57,34,36,59,59,62,65,63,57,55,44,67,74,70,33,62,61,49,60,43,50,60,62,58,10,10,16,11,12
63,63,190000.0,1000.0,1,3,1,238000.0,13,11,11,45,15,12,11,13,43,33,54,57,56,58,59,23,54,30,30,11,27,12,14,63,26,45,11,21,19,68,53,74,65,63
63,65,450000.0,2000.0,1,3,3,686000.0,60,56,38,63,59,67,66,60,55,68,72,69,72,66,67,48,69,67,62,56,46,45,59,69,62,68,50,49,48,14,13,13,11,10
63,77,800000.0,5000.0,1,3,3,2000000.0,56,47,48,69,50,65,58,52,66,65,68,69,59,54,58,62,52,45,52,58,36,28,49,66,53,62,46,43,32,12,11,7,8,9
63,71,475000.0,4000.0,1,2,2,1100000.0,61,39,55,59,56,59,60,43,49,62,66,67,65,55,76,49,60,64,55,52,63,54,62,52,41,45,61,64,70,10,12,11,12,8
63,67,325000.0,1000.0,1,2,1,463000.0,15,9,14,24,7,10,12,10,23,18,32,23,39,54,51,29,62,19,60,8,28,8,9,55,10,59,21,23,15,63,63,64,64,62
63,66,375000.0,1000.0,1,3,2,684000.0,57,48,50,57,42,52,50,35,54,59,68,68,67,64,77,66,51,71,66,50,54,66,48,41,59,46,56,59,61,14,13,11,9,14
63,63,375000.0,4000.0,1,3,2,806000.0,34,67,62,43,54,58,52,54,36,59,64,74,62,66,64,58,72,76,73,58,54,66,58,54,43,55,52,36,32,6,11,16,9,11
63,73,525000.0,1000.0,1,3,2,919000.0,56,27,59,64,42,62,61,36,60,66,67,66,71,62,55,58,69,57,65,45,59,59,41,58,45,55,65,62,61,12,8,8,10,15
63,66,375000.0,2000.0,1,2,2,497000.0,29,22,55,68,24,58,31,23,57,55,59,61,51,65,64,39,61,60,71,36,45,62,26,28,27,48,69,66,57,6,10,11,5,10
63,74,550000.0,7000.0,1,3,2,1200000.0,28,43,62,66,32,53,44,29,56,60,50,44,52,59,49,53,58,58,69,30,61,57,46,58,40,52,63,64,61,9,10,12,8,7
63,74,500000.0,1000.0,1,3,2,775000.0,55,28,53,56,30,53,45,30,50,57,75,71,62,58,64,35,62,78,74,38,64,59,50,45,37,55,60,62,61,6,13,8,13,14
63,72,575000.0,1000.0,1,5,2,978000.0,51,49,49,69,51,61,49,48,61,65,66,66,64,65,74,78,63,71,47,56,60,50,49,59,60,61,60,65,62,11,14,14,9,13
63,63,290000.0,3000.0,1,3,2,479000.0,61,22,41,56,20,55,57,33,41,56,83,83,75,54,73,20,70,85,57,29,55,54,51,43,37,49,58,61,56,7,6,13,8,9
63,63,290000.0,1000.0,1,3,2,363000.0,57,59,44,66,63,59,44,57,56,62,72,67,71,64,71,58,59,73,72,56,57,37,59,58,44,66,39,55,53,11,7,12,14,7
63,72,575000.0,1000.0,1,3,3,1000000.0,61,57,51,63,52,65,56,53,59,64,79,73,82,52,70,58,50,79,65,52,39,41,57,60,56,48,42,47,42,14,15,9,14,10
63,63,300000.0,2000.0,1,4,2,525000.0,62,40,56,57,40,58,50,43,55,56,79,74,70,60,60,60,62,74,60,45,59,58,54,48,45,54,58,59,59,15,8,8,9,12
63,69,425000.0,1000.0,1,5,2,701000.0,58,33,61,56,37,62,45,32,54,59,67,68,65,61,66,63,67,73,64,44,64,62,40,52,35,62,63,62,61,7,9,7,6,12
63,76,625000.0,5000.0,1,3,2,1600000.0,48,40,48,67,34,62,38,40,60,61,63,63,55,60,66,37,65,78,58,45,65,55,46,51,44,47,60,64,61,12,6,7,13,12
63,68,425000.0,2000.0,1,2,2,669000.0,40,31,65,45,26,49,35,33,38,52,58,59,54,55,44,52,69,66,73,33,65,59,49,30,51,52,64,62,63,13,11,13,12,14
63,71,550000.0,2000.0,1,3,3,1300000.0,61,54,42,60,58,64,63,53,56,62,82,74,83,54,82,63,49,57,45,54,43,23,57,58,62,63,21,34,35,8,11,9,14,7
63,67,400000.0,1000.0,1,4,2,610000.0,32,34,64,58,27,39,29,27,56,59,58,55,54,54,37,58,60,72,83,40,62,53,41,46,36,58,62,64,58,6,6,6,5,14
63,63,350000.0,2000.0,1,3,2,613000.0,29,61,78,47,62,43,46,23,25,61,28,32,63,65,55,71,78,83,91,58,63,31,67,54,59,71,26,24,22,8,13,8,14,7
63,75,675000.0,2000.0,1,3,3,1300000.0,53,61,50,49,34,66,49,41,39,64,95,93,73,43,80,79,76,75,71,54,32,18,55,56,50,52,22,31,34,9,15,11,7,11
63,70,425000.0,2000.0,1,2,2,616000.0,64,56,41,58,42,62,52,58,51,60,75,77,65,61,69,75,75,70,71,60,47,58,58,54,50,56,59,62,58,14,12,14,11,11
63,68,500000.0,1000.0,1,4,3,663000.0,57,49,38,61,50,65,67,66,55,68,67,66,71,69,72,54,56,64,52,64,44,36,53,57,53,64,55,31,19,12,9,7,10,14
63,73,525000.0,3000.0,1,2,2,998000.0,28,27,65,50,53,35,30,25,44,40,67,64,37,53,62,43,67,55,64,29,63,64,28,32,44,50,65,67,62,6,12,12,16,6
63,68,500000.0,2000.0,1,3,3,788000.0,44,65,55,51,62,61,57,40,30,62,60,70,62,59,60,61,58,66,75,60,56,23,60,58,57,63,22,19,17,12,16,15,7,10
63,64,450000.0,1000.0,1,4,2,596000.0,48,61,59,58,55,56,48,49,41,61,67,72,73,63,63,62,67,74,68,46,64,23,66,57,64,56,26,23,22,9,10,15,13,10
63,69,425000.0,2000.0,1,3,2,744000.0,21,20,56,67,24,25,30,35,33,53,69,68,56,55,58,31,83,52,74,22,60,58,25,31,40,55,64,62,58,12,9,6,7,8
63,78,800000.0,1000.0,1,2,3,1700000.0,53,63,52,65,51,68,57,41,55,66,76,74,73,50,81,62,79,52,49,63,49,12,61,48,53,61,12,26,23,5,12,8,8,14
63,73,525000.0,1000.0,1,3,2,814000.0,44,39,47,64,39,52,39,42,55,61,72,64,81,62,92,57,83,89,33,45,58,58,50,55,46,68,66,69,69,15,12,6,11,15
63,63,325000.0,2000.0,1,4,3,439000.0,64,62,54,61,61,72,52,57,57,68,68,67,76,56,64,58,67,70,72,60,70,53,61,62,64,62,25,34,36,10,15,16,10,14
63,80,700000.0,5000.0,1,3,2,1700000.0,70,48,53,59,41,65,45,46,48,65,74,74,76,52,81,56,60,55,55,43,52,53,55,43,48,55,63,65,64,7,7,11,10,14
63,67,475000.0,2000.0,1,3,2,867000.0,35,67,67,56,58,59,47,35,40,59,63,61,58,58,54,63,64,58,60,61,47,18,57,54,66,49,22,20,17,14,12,12,6,12
63,64,425000.0,1000.0,1,4,3,648000.0,38,59,63,58,59,56,44,53,36,61,71,70,74,60,66,64,61,69,73,59,44,14,59,49,45,57,34,32,22,9,14,7,14,8
63,75,650000.0,1000.0,1,3,2,1200000.0,49,67,58,53,55,62,48,39,48,64,61,59,70,62,64,55,64,51,56,57,32,35,70,49,71,51,34,29,21,13,12,6,6,11
63,63,80000.0,1000.0,1,3,2,108000.0,64,39,60,68,29,51,68,74,60,68,41,37,31,73,36,77,70,65,77,60,62,66,35,38,75,45,65,65,62,7,9,16,12,12
63,64,325000.0,3000.0,1,3,2,431000.0,38,22,64,60,37,30,32,25,58,36,63,58,58,61,56,47,75,62,72,24,62,57,30,30,46,45,60,66,63,13,9,8,15,14
63,83,750000.0,4000.0,1,3,3,2000000.0,58,61,61,58,50,67,42,36,43,64,77,76,79,62,81,56,63,54,47,57,39,17,55,55,42,49,23,23,20,7,9,12,13,11
63,72,575000.0,1000.0,1,4,3,891000.0,62,62,52,58,45,63,59,55,57,64,77,74,75,59,72,65,78,72,61,55,38,28,63,59,53,58,33,33,34,12,8,12,13,12
63,66,450000.0,2000.0,1,3,2,596000.0,56,45,58,70,40,58,54,58,65,68,57,54,70,56,77,59,59,81,56,57,54,49,58,57,45,60,58,49,48,13,15,12,6,12
63,69,525000.0,2000.0,1,3,3,919000.0,40,68,55,51,55,66,47,40,35,67,68,69,68,56,67,61,71,56,59,63,28,19,63,41,69,52,31,17,11,11,12,9,12,8
63,63,290000.0,2000.0,1,3,2,377000.0,51,37,61,56,22,45,23,29,54,56,61,59,66,54,47,51,47,66,87,45,64,58,41,40,33,52,59,64,62,14,7,11,15,7
63,71,550000.0,1000.0,1,3,2,1300000.0,26,68,68,49,60,55,37,34,35,59,51,55,47,58,51,65,64,51,74,57,63,23,62,50,66,52,22,25,24,10,12,13,9,10
63,71,550000.0,1000.0,1,3,2,963000.0,60,47,53,68,45,64,49,48,62,62,77,73,74,63,80,61,70,78,64,57,73,61,53,55,51,52,55,55,55,7,13,13,7,10
63,70,375000.0,1000.0,1,3,1,619000.0,10,8,10,27,8,13,11,12,22,11,24,36,37,58,26,15,56,27,38,9,18,6,4,34,17,31,11,14,10,74,60,56,51,65
63,70,375000.0,7000.0,1,2,1,788000.0,16,13,19,30,20,14,20,17,26,17,39,34,23,57,23,25,58,26,68,13,22,20,16,41,11,48,14,19,14,63,61,60,63,66
